timestamp,yaw,pitch,distance,distance_noise,x,y,z,x_noise,y_noise,z_noise,object_id,color,color,color,id
0.083,5.187,-0.149,15.766,15.777,13.866,7.131,-2.338,13.875,7.136,-2.34,22081.0,204.0,204.0,204.0,0.0
0.083,5.187,-0.142,15.691,15.719,13.813,7.104,-2.228,13.837,7.116,-2.231,22081.0,204.0,204.0,204.0,0.0
0.083,5.187,-0.137,15.515,15.52,13.668,7.029,-2.119,13.672,7.031,-2.12,22081.0,204.0,204.0,204.0,0.0
0.083,5.187,-0.434,5.604,5.467,4.52,2.325,-2.359,4.41,2.268,-2.301,22081.0,204.0,204.0,204.0,0.0
0.083,5.187,-0.423,5.6,5.662,4.54,2.335,-2.301,4.59,2.361,-2.327,22081.0,204.0,204.0,204.0,0.0
0.083,5.187,-0.155,15.819,15.746,13.898,7.148,-2.444,13.835,7.115,-2.433,22081.0,204.0,204.0,204.0,0.0
0.083,5.19,-0.149,15.766,15.796,13.844,7.173,-2.338,13.871,7.186,-2.343,22081.0,204.0,204.0,204.0,0.0
0.083,5.19,-0.142,15.691,15.695,13.791,7.145,-2.228,13.795,7.147,-2.228,22081.0,204.0,204.0,204.0,0.0
0.083,5.19,-0.137,15.427,15.378,13.569,7.03,-2.107,13.526,7.008,-2.101,22081.0,204.0,204.0,204.0,0.0
0.083,5.19,-0.131,15.375,15.344,13.533,7.012,-2.015,13.506,6.998,-2.01,22081.0,204.0,204.0,204.0,0.0
0.083,5.19,-0.395,5.471,5.435,4.484,2.323,-2.104,4.455,2.308,-2.09,22081.0,204.0,204.0,204.0,0.0
0.083,5.19,-0.388,5.486,5.478,4.51,2.336,-2.074,4.503,2.333,-2.071,22081.0,204.0,204.0,204.0,0.0
0.083,5.19,-0.38,5.557,5.53,4.583,2.374,-2.059,4.56,2.363,-2.048,22081.0,204.0,204.0,204.0,0.0
0.083,5.19,-0.434,5.497,5.381,4.428,2.294,-2.314,4.334,2.245,-2.265,22081.0,204.0,204.0,204.0,0.0
0.083,5.19,-0.423,5.476,5.512,4.433,2.297,-2.25,4.462,2.312,-2.265,22081.0,204.0,204.0,204.0,0.0
0.083,5.19,-0.414,5.461,5.52,4.439,2.3,-2.199,4.486,2.324,-2.223,22081.0,204.0,204.0,204.0,0.0
0.083,5.19,-0.403,5.46,5.494,4.46,2.311,-2.139,4.488,2.325,-2.152,22081.0,204.0,204.0,204.0,0.0
0.083,5.19,-0.155,15.819,15.768,13.877,7.19,-2.444,13.833,7.167,-2.437,22081.0,204.0,204.0,204.0,0.0
0.083,5.193,-0.149,15.765,15.761,13.821,7.214,-2.338,13.818,7.212,-2.337,22081.0,204.0,204.0,204.0,0.0
0.083,5.193,-0.142,15.69,15.772,13.768,7.186,-2.227,13.84,7.224,-2.239,22081.0,204.0,204.0,204.0,0.0
0.083,5.193,-0.137,15.402,15.46,13.526,7.06,-2.104,13.577,7.086,-2.112,22081.0,204.0,204.0,204.0,0.0
0.083,5.193,-0.131,15.196,15.159,13.355,6.971,-1.991,13.323,6.954,-1.986,22081.0,204.0,204.0,204.0,0.0
0.083,5.193,-0.395,5.4,5.394,4.419,2.306,-2.077,4.414,2.304,-2.074,22081.0,204.0,204.0,204.0,0.0
0.083,5.193,-0.388,5.394,5.404,4.426,2.31,-2.039,4.435,2.315,-2.043,22081.0,204.0,204.0,204.0,0.0
0.083,5.193,-0.38,5.387,5.361,4.436,2.315,-1.996,4.415,2.304,-1.986,22081.0,204.0,204.0,204.0,0.0
0.083,5.193,-0.37,5.391,5.624,4.456,2.326,-1.949,4.648,2.426,-2.033,22081.0,204.0,204.0,204.0,0.0
0.083,5.193,-0.434,5.458,5.395,4.389,2.291,-2.298,4.338,2.264,-2.271,22081.0,204.0,204.0,204.0,0.0
0.083,5.193,-0.423,5.438,5.451,4.395,2.294,-2.235,4.405,2.299,-2.24,22081.0,204.0,204.0,204.0,0.0
0.083,5.193,-0.361,5.415,5.378,4.492,2.344,-1.911,4.461,2.328,-1.898,22081.0,204.0,204.0,204.0,0.0
0.083,5.193,-0.349,5.444,5.388,4.535,2.367,-1.863,4.488,2.343,-1.844,22081.0,204.0,204.0,204.0,0.0
0.083,5.193,-0.414,5.424,5.413,4.401,2.297,-2.184,4.393,2.293,-2.18,22081.0,204.0,204.0,204.0,0.0
0.083,5.193,-0.403,5.414,5.505,4.416,2.305,-2.121,4.49,2.343,-2.157,22081.0,204.0,204.0,204.0,0.0
0.083,5.193,-0.339,5.737,5.764,4.796,2.503,-1.908,4.819,2.515,-1.917,22081.0,22.0,47.0,204.0,0.0
0.083,5.193,-0.333,5.917,5.894,4.957,2.587,-1.936,4.938,2.577,-1.929,22081.0,22.0,47.0,204.0,0.0
0.083,5.193,-0.326,6.464,6.405,5.429,2.834,-2.067,5.38,2.808,-2.048,22081.0,22.0,47.0,204.0,0.0
0.083,5.193,-0.317,7.229,7.13,6.09,3.178,-2.252,6.006,3.135,-2.221,22081.0,22.0,47.0,204.0,0.0
0.083,5.193,-0.155,15.818,15.764,13.854,7.231,-2.444,13.807,7.206,-2.436,22081.0,204.0,204.0,204.0,0.0
0.083,5.196,-0.131,14.839,14.808,13.021,6.846,-1.944,12.994,6.832,-1.94,22081.0,204.0,204.0,204.0,0.0
0.083,5.196,-0.395,5.364,5.377,4.382,2.304,-2.063,4.393,2.31,-2.068,22081.0,204.0,204.0,204.0,0.0
0.083,5.196,-0.388,5.358,5.358,4.39,2.308,-2.026,4.39,2.308,-2.026,22081.0,204.0,204.0,204.0,0.0
0.083,5.196,-0.38,5.351,5.333,4.4,2.313,-1.982,4.384,2.305,-1.976,22081.0,204.0,204.0,204.0,0.0
0.083,5.196,-0.37,5.345,5.517,4.411,2.319,-1.933,4.553,2.394,-1.995,22081.0,204.0,204.0,204.0,0.0
0.083,5.196,-0.434,5.435,5.314,4.364,2.294,-2.288,4.267,2.243,-2.237,22081.0,204.0,204.0,204.0,0.0
0.083,5.196,-0.423,5.41,5.508,4.366,2.295,-2.223,4.445,2.337,-2.263,22081.0,204.0,204.0,204.0,0.0
0.083,5.196,-0.361,5.34,5.295,4.422,2.325,-1.884,4.385,2.306,-1.869,22081.0,204.0,204.0,204.0,0.0
0.083,5.196,-0.349,5.333,5.315,4.436,2.332,-1.826,4.42,2.324,-1.819,22081.0,204.0,204.0,204.0,0.0
0.083,5.196,-0.414,5.391,5.442,4.368,2.297,-2.171,4.409,2.318,-2.191,22081.0,204.0,204.0,204.0,0.0
0.083,5.196,-0.403,5.374,5.414,4.377,2.301,-2.106,4.409,2.318,-2.121,22081.0,204.0,204.0,204.0,0.0
0.083,5.196,-0.286,6.042,6.031,5.13,2.697,-1.707,5.12,2.692,-1.704,22081.0,22.0,47.0,204.0,0.0
0.083,5.196,-0.28,6.495,6.463,5.526,2.905,-1.792,5.498,2.891,-1.783,22081.0,22.0,47.0,204.0,0.0
0.083,5.196,-0.339,5.328,5.369,4.448,2.338,-1.772,4.482,2.356,-1.786,22081.0,204.0,204.0,204.0,0.0
0.083,5.196,-0.333,5.329,5.324,4.457,2.343,-1.744,4.453,2.341,-1.742,22081.0,204.0,204.0,204.0,0.0
0.083,5.196,-0.27,7.353,7.333,6.272,3.298,-1.964,6.255,3.289,-1.959,22081.0,22.0,47.0,204.0,0.0
0.083,5.196,-0.262,8.103,8.097,6.927,3.642,-2.099,6.922,3.639,-2.098,22081.0,22.0,47.0,204.0,0.0
0.083,5.196,-0.326,5.342,5.313,4.48,2.356,-1.708,4.455,2.343,-1.699,22081.0,204.0,204.0,204.0,0.0
0.083,5.196,-0.317,5.357,5.371,4.505,2.369,-1.669,4.517,2.375,-1.673,22081.0,204.0,204.0,204.0,0.0
0.083,5.196,-0.252,8.676,8.672,7.436,3.91,-2.167,7.432,3.908,-2.166,22081.0,22.0,47.0,204.0,0.0
0.083,5.196,-0.307,5.374,5.29,4.534,2.384,-1.624,4.464,2.347,-1.599,22081.0,6.0,6.0,6.0,0.0
0.083,5.196,-0.297,5.507,5.648,4.662,2.451,-1.61,4.781,2.514,-1.651,22081.0,22.0,47.0,204.0,0.0
0.083,5.199,-0.131,14.657,14.622,12.84,6.801,-1.92,12.81,6.785,-1.916,22081.0,204.0,204.0,204.0,0.0
0.083,5.199,-0.395,5.343,5.349,4.359,2.309,-2.055,4.363,2.311,-2.057,22081.0,204.0,204.0,204.0,0.0
0.083,5.199,-0.388,5.332,5.331,4.362,2.31,-2.016,4.361,2.31,-2.016,22081.0,204.0,204.0,204.0,0.0
0.083,5.199,-0.198,10.689,10.63,9.261,4.905,-2.104,9.21,4.878,-2.092,22081.0,22.0,47.0,204.0,0.0
0.083,5.199,-0.38,5.32,5.31,4.367,2.313,-1.971,4.359,2.309,-1.967,22081.0,204.0,204.0,204.0,0.0
0.083,5.199,-0.37,5.31,5.469,4.375,2.317,-1.92,4.506,2.386,-1.977,22081.0,204.0,204.0,204.0,0.0
0.083,5.199,-0.434,5.423,5.313,4.347,2.302,-2.283,4.259,2.256,-2.237,22081.0,204.0,204.0,204.0,0.0
0.083,5.199,-0.423,5.398,5.406,4.349,2.303,-2.218,4.355,2.307,-2.221,22081.0,204.0,204.0,204.0,0.0
0.083,5.199,-0.361,5.305,5.309,4.386,2.323,-1.872,4.39,2.325,-1.874,22081.0,204.0,204.0,204.0,0.0
0.083,5.199,-0.349,5.298,5.248,4.399,2.33,-1.813,4.357,2.308,-1.796,22081.0,204.0,204.0,204.0,0.0
0.083,5.199,-0.414,5.379,5.373,4.351,2.304,-2.166,4.346,2.302,-2.164,22081.0,204.0,204.0,204.0,0.0
0.083,5.199,-0.403,5.357,5.457,4.356,2.307,-2.099,4.437,2.35,-2.138,22081.0,204.0,204.0,204.0,0.0
0.083,5.199,-0.286,5.322,5.307,4.511,2.389,-1.504,4.498,2.382,-1.5,22081.0,204.0,204.0,204.0,0.0
0.083,5.199,-0.28,5.371,5.293,4.562,2.416,-1.482,4.496,2.381,-1.46,22081.0,204.0,204.0,204.0,0.0
0.083,5.199,-0.339,5.293,5.343,4.411,2.336,-1.76,4.453,2.358,-1.777,22081.0,204.0,204.0,204.0,0.0
0.083,5.199,-0.333,5.29,5.295,4.418,2.34,-1.731,4.422,2.342,-1.733,22081.0,204.0,204.0,204.0,0.0
0.083,5.199,-0.27,5.545,5.564,4.722,2.501,-1.481,4.739,2.51,-1.486,22081.0,204.0,204.0,204.0,0.0
