timestamp,yaw,pitch,distance,distance_noise,x_noise,y_noise,z_noise,object_id,color,color.1,color.2,id,x,y,z
0.082,5.145,-0.198,13.551,13.484,12.002,5.545,-2.654,22081.0,204.0,204.0,204.0,0.0,12.061,5.572,2.333
0.082,5.145,-0.188,13.523,13.622,12.148,5.612,-2.547,22081.0,204.0,204.0,204.0,0.0,12.06,5.572,2.472
0.082,5.145,-0.18,13.506,13.541,12.093,5.587,-2.429,22081.0,204.0,204.0,204.0,0.0,12.062,5.573,2.577
0.082,5.145,-0.172,13.492,13.459,12.038,5.562,-2.299,22081.0,204.0,204.0,204.0,0.0,12.068,5.576,2.695
0.082,5.145,-0.164,13.561,13.394,11.997,5.543,-2.183,22081.0,204.0,204.0,204.0,0.0,12.146,5.611,2.79
0.082,5.145,-0.216,13.621,13.677,12.128,5.603,-2.93,22081.0,204.0,204.0,204.0,0.0,12.078,5.58,2.082
0.082,5.145,-0.209,13.59,13.705,12.171,5.623,-2.842,22081.0,204.0,204.0,204.0,0.0,12.069,5.576,2.182
0.082,5.148,-0.124,13.492,13.541,12.181,5.672,-1.677,22081.0,204.0,204.0,204.0,0.0,12.137,5.652,3.3289999999999997
0.082,5.148,-0.149,13.391,13.447,12.055,5.614,-1.994,22081.0,204.0,204.0,204.0,0.0,12.006,5.591,3.0140000000000002
0.082,5.148,-0.142,13.404,13.456,12.075,5.623,-1.91,22081.0,204.0,204.0,204.0,0.0,12.028,5.601,3.097
0.082,5.148,-0.137,13.415,13.472,12.099,5.634,-1.84,22081.0,204.0,204.0,204.0,0.0,12.047,5.61,3.167
0.082,5.148,-0.131,13.427,13.411,12.053,5.612,-1.757,22081.0,204.0,204.0,204.0,0.0,12.067,5.619,3.241
0.082,5.148,-0.198,13.478,13.371,11.885,5.534,-2.632,22081.0,204.0,204.0,204.0,0.0,11.98,5.578,2.347
0.082,5.148,-0.188,13.451,13.514,12.035,5.604,-2.527,22081.0,204.0,204.0,204.0,0.0,11.978,5.578,2.485
0.082,5.148,-0.262,13.748,13.775,12.061,5.616,-3.569,22081.0,204.0,204.0,204.0,0.0,12.038,5.605,1.4380000000000002
0.082,5.148,-0.252,13.693,13.694,12.02,5.597,-3.421,22081.0,204.0,204.0,204.0,0.0,12.02,5.597,1.5790000000000002
0.082,5.148,-0.241,13.642,13.737,12.092,5.631,-3.283,22081.0,72.0,204.0,204.0,0.0,12.008,5.592,1.7400000000000002
